fault_type,brand,age,problem
Microphone,Apple,unknown_age,Mobile - Mic problem - Tried cardboard hack and failed
Other,Samsung,unknown_age,Mobile - Configuration problem -
Unknown,Samsung,unknown_age,Mobile - -
Speaker/amplifier,Apple,unknown_age,Mobile - No sound output -
Power/battery,Samsung,unknown_age,Mobile - Gets no power -
Stuck booting,Samsung,unknown_age,Mobile - Won't boot -
On/Off button,Apple,unknown_age,Mobile - Switch problem -
Other,Samsung,unknown_age,Mobile - Bricked -
Power/battery,Apple,unknown_age,Mobile - No power -
Power/battery,Samsung,unknown_age,Mobile - Battery issue -
Power/battery,Samsung,unknown_age,Mobile - No power -
Software update,Samsung,unknown_age,Mobile - Bricked -
Screen,Apple,unknown_age,Mobile - Screen issue - Not enough time
Sim card slot,Apple,unknown_age,Mobile - No SIM card recognition -
Stuck booting,Samsung,unknown_age,Mobile - Won't boot - Not enough time
Software update,Samsung,unknown_age,Mobile - Firmware issue -
Screen,Apple,unknown_age,Mobile - Screen issue - needs a new part
Screen,Apple,unknown_age,Mobile - screen issue - Spare part needed
Screen,Samsung,unknown_age,"Smashed screen, doesn't switch on"
Software update,Samsung,unknown_age,"Switches on, but can't launch programmes"
Power/battery,Apple,unknown_age,Turn off after a few minutes
Screen,Samsung,unknown_age,Mobile - Screen issue - Referred to professional
Other buttons,Samsung,unknown_age,Mobile - Home button - Needs more work
On/Off button,Apple,unknown_age,Mobile - Home button/Power switch - Needs spare part - DIY ready
Camera,Samsung,unknown_age,Mobile - Lens smashed - Self-fix
USB/charging port,Samsung,unknown_age,Mobile - USB port - Referred to professional
Stuck booting,Samsung,unknown_age,Mobile - Bootloop - Referred to professional
Screen,Apple,unknown_age,Mobile - Screen issue -
Stuck booting,Samsung,unknown_age,Mobile - Won't boot -
Screen,Apple,unknown_age,Mobile - Screen issue -
Screen,Apple,unknown_age,Mobile - Screen issue -
Screen,Apple,unknown_age,Mobile - Screen issue - Self repair
Other buttons,Apple,unknown_age,"Home button is stuck. Neeeds to go to shop, button mislodged after screen repair"
Screen,Samsung,unknown_age,Broken screen
Power/battery,Apple,unknown_age,Mobile - Battery dead -
Screen,Apple,unknown_age,replacement screen/display is missing
Screen,Apple,unknown_age,replacement screen/display is missing
Other,Apple,unknown_age,Mobile - Water damaged -
Performance,Samsung,unknown_age,Mobile - Running slow -
Screen,Samsung,unknown_age,Screen broken
Screen,Apple,unknown_age,Condensation underneath screen
Screen,Apple,unknown_age,Poor battery ilfe and screen cracked
Other buttons,Apple,unknown_age,Mobile - Broken home button -
